Canada-Alberta,  Population size (1-year)     Last modified: 31-Jul-2014, MPv5 (May07)

Year     Age      Female         Male        Total
1922      52       1699.67      2738.02      4437.69
1922      53       1589.84      2543.10      4132.94
1922      54       1475.84      2327.10      3802.94
1922      55       1370.09      2125.52      3495.61
1922      56       1266.51      1924.35      3190.86
1922      57       1180.43      1762.18      2942.61
1922      58       1121.26      1662.26      2783.52
1922      59       1078.42      1600.76      2679.18
1922      60       1036.34      1538.84      2575.18
1922      61       1000.84      1486.93      2487.77
1922      62        951.92      1414.59      2366.51
1922      63        878.34      1304.59      2182.93
1922      64        790.92      1171.76      1962.68
1922      65        709.09      1049.93      1759.02
1922      66        629.09       932.09      1561.18
1922      67        558.67       826.68      1385.35
1922      68        503.25       740.34      1243.59
1922      69        458.25       667.67      1125.92
1922      70        413.84       596.76      1010.60
1922      71        372.01       528.67       900.68
1922      72        331.42       466.34       797.76
1922      73        290.50       409.34       699.84
1922      74        250.59       357.25       607.84
1922      75        215.08       310.01       525.09
1922      76        181.17       267.76       448.93
1922      77        153.25       228.76       382.01
1922      78        132.67       192.50       325.17
1922      79        117.83       159.33       277.16
1922      80        103.41       127.99       231.40
1922      81         99.11       121.48       220.59
1922      82         90.42        96.26       186.68
1922      83         75.21        79.46       154.67
1922      84         63.39        69.10       132.49
1922      85         54.64        54.32       108.96
1922      86         44.24        39.65        83.89
1922      87         32.49        34.40        66.89
1922      88         31.00        27.31        58.31
1922      89         25.25        19.92        45.17
1922      90         12.29        11.51        23.80
1922      91          8.06         8.05        16.11
1922      92          4.83         7.55        12.38
1922      93          3.43         7.42        10.85
1922      94          5.70         5.71        11.41
1922      95          5.68         4.85        10.53
1922      96          2.52         2.41         4.93
1922      97          1.88         0.49         2.37
1922      98          1.75         0.00         1.75
1922      99          0.00         1.05         1.05
1922     100          1.00         0.95         1.95
1922     101          0.00         0.00         0.00
1922     102          0.00         0.00         0.00
1922     103          0.00         0.00         0.00
1922     104          0.00         0.00         0.00
1922     105          0.00         0.00         0.00
1922     106          0.00         0.00         0.00
1922     107          0.00         0.00         0.00
1922     108          0.00         0.00         0.00
1922     109          0.00         0.00         0.00
1922     110+         0.00         0.00         0.00
1923       0       7256.80      7410.38     14667.18
1923       1       7569.21      7745.72     15314.93
1923       2       7768.21      7963.05     15731.26
1923       3       7865.63      8076.05     15941.68
1923       4       7873.30      8096.31     15969.61
1923       5       7800.64      8035.06     15835.70
1923       6       7660.90      7903.74     15564.64
1923       7       7463.07      7714.16     15177.23
1923       8       7219.25      7479.34     14698.59
1923       9       6939.42      7209.35     14148.77
1923      10       6628.18      6906.94     13535.12
1923      11       6287.11      6574.70     12861.81
1923      12       5969.28      6271.45     12240.73
1923      13       5699.45      6028.29     11727.74
1923      14       5466.11      5827.12     11293.23
1923      15       5228.94      5624.37     10853.31
1923      16       4996.44      5430.28     10426.72
1923      17       4791.93      5257.45     10049.38
1923      18       4625.35      5109.28      9734.63
1923      19       4490.76      4987.11      9477.87
1923      20       4369.01      4883.44      9252.45
1923      21       4257.09      4792.60      9049.69
1923      22       4188.58      4757.43      8946.01
1923      23       4178.50      4796.00      8974.50
1923      24       4206.82      4887.24      9094.06
1923      25       4241.32      4987.65      9228.97
1923      26       4288.98      5103.23      9392.21
1923      27       4320.40      5214.05      9534.45
1923      28       4319.31      5304.54      9623.85
1923      29       4296.56      5382.03      9678.59
1923      30       4276.98      5460.86      9737.84
1923      31       4251.39      5525.10      9776.49
1923      32       4228.06      5609.93      9837.99
1923      33       4212.98      5729.35      9942.33
1923      34       4197.16      5857.78     10054.94
1923      35       4170.33      5964.62     10134.95
1923      36       4138.08      6066.22     10204.30
1923      37       4064.51      6069.39     10133.90
1923      38       3930.34      5925.65      9855.99
1923      39       3755.09      5682.33      9437.42
1923      40       3578.43      5436.59      9015.02
1923      41       3394.59      5173.60      8568.19
1923      42       3209.51      4907.28      8116.79
1923      43       3032.10      4657.45      7689.55
1923      44       2860.44      4416.86      7277.30
1923      45       2684.19      4160.86      6845.05
1923      46       2505.94      3890.11      6396.05
1923      47       2340.11      3649.61      5989.72
1923      48       2195.36      3456.11      5651.47
1923      49       2066.18      3293.44      5359.62
1923      50       1939.59      3132.19      5071.78
1923      51       1819.25      2980.60      4799.85
1923      52       1705.92      2812.35      4518.27
1923      53       1597.50      2612.43      4209.93
1923      54       1496.09      2395.85      3891.94
1923      55       1400.51      2191.52      3592.03
1923      56       1307.93      1987.76      3295.69
1923      57       1228.59      1823.60      3052.19
1923      58       1165.68      1719.26      2884.94
1923      59       1114.01      1652.93      2766.94
1923      60       1064.92      1586.01      2650.93
1923      61       1021.67      1529.68      2551.35
1923      62        968.34      1453.93      2422.27
1923      63        894.34      1341.01      2235.35
1923      64        809.09      1206.09      2015.18
1923      65        729.25      1081.59      1810.84
1923      66        651.01       962.25      1613.26
1923      67        580.42       854.92      1435.34
1923      68        523.09       766.92      1290.01
1923      69        474.59       692.67      1167.26
1923      70        427.08       620.25      1047.33
1923      71        382.58       550.42       933.00
1923      72        339.25       486.42       825.67
1923      73        296.25       427.67       723.92
1923      74        254.83       373.59       628.42
1923      75        217.42       324.08       541.50
1923      76        181.42       280.17       461.59
1923      77        152.58       238.25       390.83
1923      78        131.58       197.67       329.25
1923      79        117.00       159.83       276.83
1923      80        109.59       129.44       239.03
1923      81         93.30       116.95       210.25
1923      82         87.77       110.98       198.75
1923      83         78.27        85.25       163.52
1923      84         65.24        67.97       133.21
1923      85         53.78        55.56       109.34
1923      86         46.63        44.19        90.82
1923      87         36.71        31.72        68.43
1923      88         27.41        28.28        55.69
1923      89         27.52        25.82        53.34
1923      90         22.20        16.91        39.11
1923      91         11.26         8.99        20.25
1923      92          7.08         6.06        13.14
1923      93          3.32         6.04         9.36
1923      94          2.92         6.92         9.84
1923      95          4.21         4.69         8.90
1923      96          2.68         4.36         7.04
1923      97          1.01         1.91         2.92
1923      98          1.88         0.00         1.88
1923      99          1.75         0.00         1.75
1923     100          0.00         0.00         0.00
1923     101          0.00         0.00         0.00
1923     102          0.00         0.00         0.00
1923     103          0.00         0.00         0.00
1923     104          0.00         0.00         0.00
1923     105          0.00         0.00         0.00
1923     106          0.00         0.00         0.00
1923     107          0.00         0.00         0.00
1923     108          0.00         0.00         0.00
1923     109          0.00         0.00         0.00
1923     110+         0.00         0.00         0.00
1924       0       7157.15      7295.73     14452.88
1924       1       7440.23      7610.22     15050.45
1924       2       7628.14      7822.80     15450.94
1924       3       7729.56      7941.97     15671.53
1924       4       7753.14      7979.14     15732.28
1924       5       7707.32      7943.73     15651.05
1924       6       7601.16      7844.40     15445.56
1924       7       7443.67      7692.16     15135.83
1924       8       7241.93      7495.92     14737.85
1924       9       7005.94      7265.43     14271.37
1924      10       6739.53      7004.69     13744.22
1924      11       6445.88      6715.53     13161.41
1924      12       6158.72      6441.62     12600.34
1924      13       5893.22      6206.13     12099.35
1924      14       5646.22      5998.87     11645.09
1924      15       5395.05      5787.87     11182.92
1924      16       5146.88      5582.12     10729.00
1924      17       4922.04      5396.95     10318.99
1924      18       4731.95      5237.11      9969.06
1924      19       4570.94      5104.44      9675.38
1924      20       4421.35      4985.44      9406.79
1924      21       4278.42      4877.27      9155.69
1924      22       4183.75      4817.85      9001.60
1924      23       4152.33      4822.01      8974.34
1924      24       4164.16      4872.50      9036.66
1924      25       4182.99      4934.16      9117.15
1924      26       4216.40      5013.56      9229.96
1924      27       4236.56      5086.39      9322.95
1924      28       4228.48      5137.80      9366.28
1924      29       4202.15      5177.96      9380.11
1924      30       4180.98      5222.87      9403.85
1924      31       4154.39      5254.53      9408.92
1924      32       4139.06      5327.11      9466.17
1924      33       4141.57      5464.28      9605.85
1924      34       4150.57      5630.95      9781.52
1924      35       4148.58      5776.21      9924.79
1924      36       4143.92      5918.63     10062.55
1924      37       4092.17      5966.56     10058.73
1924      38       3970.93      5870.74      9841.67
1924      39       3802.76      5676.08      9478.84
1924      40       3633.01      5479.43      9112.44
1924      41       3454.10      5267.94      8722.04
1924      42       3277.52      5038.28      8315.80
1924      43       3113.10      4803.04      7916.14
1924      44       2955.69      4561.45      7517.14
1924      45       2792.69      4304.28      7096.97
1924      46       2627.11      4030.53      6657.64
1924      47       2465.03      3783.45      6248.48
1924      48       2308.19      3581.61      5889.80
1924      49       2157.11      3408.61      5565.72
1924      50       2010.77      3233.69      5244.46
1924      51       1867.10      3066.77      4933.87
1924      52       1738.35      2887.18      4625.53
1924      53       1627.43      2681.68      4309.11
1924      54       1531.43      2464.10      3995.53
1924      55       1439.84      2257.52      3697.36
1924      56       1351.26      2051.93      3403.19
1924      57       1273.51      1885.18      3158.69
1924      58       1205.59      1776.26      2981.85
1924      59       1146.51      1704.18      2850.69
1924      60       1090.42      1632.84      2723.26
1924      61       1039.92      1571.93      2611.85
1924      62        983.17      1492.59      2475.76
1924      63        912.09      1377.59      2289.68
1924      64        832.76      1241.76      2074.52
1924      65        757.84      1116.51      1874.35
1924      66        685.51       996.09      1681.60
1924      67        616.84       887.09      1503.93
1924      68        556.09       796.76      1352.85
1924      69        500.42       720.26      1220.68
1924      70        446.34       644.76      1091.10
1924      71        395.25       572.25       967.50
1924      72        347.34       505.92       853.26
1924      73        304.34       445.34       749.68
1924      74        265.09       390.09       655.18
1924      75        229.25       339.25       568.50
1924      76        195.01       294.42       489.43
1924      77        166.42       250.42       416.84
1924      78        143.09       207.67       350.76
1924      79        124.59       166.59       291.18
1924      80        128.63       169.85       298.48
1924      81        100.35       112.86       213.21
1924      82         85.49       100.96       186.45
1924      83         79.10        95.90       175.00
1924      84         68.98        74.17       143.15
1924      85         53.10        58.42       111.52
1924      86         45.70        47.50        93.20
1924      87         41.11        37.70        78.81
1924      88         31.23        21.78        53.01
1924      89         20.93        17.71        38.64
1924      90         21.45        18.25        39.70
1924      91         19.15        12.88        32.03
1924      92          9.78         8.49        18.27
1924      93          6.06         6.06        12.12
1924      94          3.32         4.05         7.37
1924      95          2.92         4.90         7.82
1924      96          4.21         4.69         8.90
1924      97          2.68         4.36         7.04
1924      98          1.01         1.91         2.92
1924      99          1.38         0.00         1.38
1924     100          0.25         0.00         0.25
1924     101          0.00         0.00         0.00
1924     102          0.00         0.00         0.00
1924     103          0.00         0.00         0.00
1924     104          0.00         0.00         0.00
1924     105          0.00         0.00         0.00
1924     106          0.00         0.00         0.00
1924     107          0.00         0.00         0.00
1924     108          0.00         0.00         0.00
1924     109          0.00         0.00         0.00
1924     110+         0.00         0.00         0.00
1925       0       7001.70      7051.59     14053.29
1925       1       7265.95      7360.01     14625.96
1925       2       7454.12      7583.18     15037.30
1925       3       7571.46      7727.69     15299.15
1925       4       7623.22      7802.20     15425.42
1925       5       7617.39      7812.80     15430.19
1925       6       7558.07      7766.48     15324.55
1925       7       7452.50      7670.75     15123.25
1925       8       7305.68      7532.76     14838.44
1925       9       7124.70      7358.86     14483.56
1925      10       6913.71      7155.96     14069.67
1925      11       6677.89      6926.81     13604.70
1925      12       6429.40      6690.32     13119.72
1925      13       6175.74      6457.32     12633.06
1925      14       5920.24      6228.23     12148.47
1925      15       5659.74      5994.72     11654.46
1925      16       5399.32      5760.55     11159.87
1925      17       5151.90      5551.45     10703.35
1925      18       4926.14      5379.28     10305.42
1925      19       4721.54      5239.20      9960.74
1925      20       4525.61      5108.20      9633.81
1925      21       4334.68      4986.61      9321.29
1925      22       4197.51      4903.02      9100.53
1925      23       4134.92      4867.35      9002.27
1925      24       4123.99      4868.25      8992.24
1925      25       4120.07      4882.90      9002.97
1925      26       4131.15      4918.31      9049.46
1925      27       4137.22      4950.22      9087.44
1925      28       4122.72      4965.21      9087.93
1925      29       4097.06      4974.87      9071.93
1925      30       4078.56      4991.70      9070.26
1925      31       4056.81      4997.69      9054.50
1925      32       4052.40      5062.77      9115.17
1925      33       4073.48      5220.95      9294.43
1925      34       4105.32      5426.62      9531.94
1925      35       4126.75      5612.47      9739.22
1925      36       4147.75      5796.89      9944.64
1925      37       4118.17      5889.32     10007.49
1925      38       4011.93      5838.83      9850.76
1925      39       3853.76      5687.42      9541.18
1925      40       3694.18      5535.18      9229.36
1925      41       3525.18      5368.36      8893.54
1925      42       3357.27      5173.45      8530.72
1925      43       3202.35      4954.95      8157.30
1925      44       3054.44      4718.20      7772.64
1925      45       2898.19      4464.87      7363.06
1925      46       2738.94      4193.96      6932.90
1925      47       2578.94      3942.21      6521.15
1925      48       2417.94      3728.04      6145.98
1925      49       2257.77      3537.78      5795.55
1925      50       2102.44      3343.53      5445.97
1925      51       1949.27      3154.35      5103.62
1925      52       1809.60      2958.27      4767.87
1925      53       1689.02      2746.76      4435.78
1925      54       1583.10      2530.52      4113.62
1925      55       1481.18      2324.10      3805.28
1925      56       1381.67      2119.27      3500.94
1925      57       1296.84      1949.52      3246.36
1925      58       1228.00      1832.68      3060.68
1925      59       1170.67      1749.51      2920.18
1925      60       1116.92      1668.92      2785.84
1925      61       1069.18      1597.75      2666.93
1925      62       1014.68      1513.25      2527.93
1925      63        946.26      1402.34      2348.60
1925      64        869.68      1276.09      2145.77
1925      65        797.09      1160.26      1957.35
1925      66        728.68      1049.01      1777.69
1925      67        660.51       945.27      1605.78
1925      68        596.18       852.10      1448.28
1925      69        534.26       768.43      1302.69
1925      70        473.76       686.35      1160.11
1925      71        415.67       607.26      1022.93
1925      72        363.92       535.76       899.68
1925      73        320.92       471.84       792.76
1925      74        284.09       415.51       699.60
1925      75        250.25       363.17       613.42
1925      76        218.42       315.67       534.09
1925      77        189.42       270.50       459.92
1925      78        162.67       225.92       388.59
1925      79        137.59       183.09       320.68
1925      80        152.13       174.45       326.58
1925      81        119.58       154.75       274.33
1925      82         90.92       102.80       193.72
1925      83         77.35        87.16       164.51
1925      84         72.19        76.38       148.57
1925      85         60.90        61.42       122.32
1925      86         45.14        50.47        95.61
1925      87         36.70        40.93        77.63
1925      88         35.96        34.21        70.17
1925      89         27.82        17.78        45.60
1925      90         16.84        14.17        31.01
1925      91         17.98        15.74        33.72
1925      92         14.15        11.38        25.53
1925      93          7.22         6.49        13.71
1925      94          6.06         4.05        10.11
1925      95          3.32         3.04         6.36
1925      96          1.93         3.90         5.83
1925      97          3.21         3.69         6.90
1925      98          2.68         2.85         5.53
1925      99          1.01         0.92         1.93
1925     100          0.63         0.00         0.63
1925     101          0.00         0.00         0.00
1925     102          0.00         0.00         0.00
1925     103          0.00         0.00         0.00
1925     104          0.00         0.00         0.00
1925     105          0.00         0.00         0.00
1925     106          0.00         0.00         0.00
1925     107          0.00         0.00         0.00
1925     108          0.00         0.00         0.00
1925     109          0.00         0.00         0.00
1925     110+         0.00         0.00         0.00
1926       0       6802.96      6674.49     13477.45
1926       1       7044.95      7009.08     14054.03
1926       2       7234.28      7271.68     14505.96
1926       3       7372.62      7467.53     14840.15
1926       4       7461.63      7601.87     15063.50
1926       5       7506.97      7677.56     15184.53
1926       6       7508.32      7700.99     15209.31
1926       7       7469.34      7675.42     15144.76
1926       8       7392.69      7606.52     14999.21
1926       9       7281.04      7497.87     14778.91
1926      10       7141.14      7358.47     14499.61
1926      11       6979.58      7194.65     14174.23
1926      12       6778.34      6996.65     13774.99
1926      13       6533.67      6762.49     13296.16
1926      14       6259.33      6504.73     12764.06
1926      15       5978.82      6241.22     12220.04
